coach,HomeShotsOnTarget,HomeCorners,HomeFouls,IP,Cluster
Ange Postecoglou,6.163636363636364,7.345454545454546,10.981818181818182,1.193891478396826,2
Antonio Conte,5.578947368421052,5.868421052631579,11.447368421052632,0.9920229667133692,2
Arne Slot,6.117647058823529,6.470588235294118,11.705882352941176,1.033772412708399,2
David Moyes,4.283185840707965,4.991150442477876,9.858407079646017,0.971575822812158,1
Dean Smith,4.605263157894737,6.078947368421052,12.18421052631579,0.8717834189736177,1
Eddie Howe,5.351351351351352,6.054054054054054,10.716216216216216,1.0741645272175964,2
Enzo Maresca,6.888888888888889,6.444444444444445,11.38888888888889,1.1278749799583132,2
Erik ten Hag,5.859649122807017,6.2631578947368425,9.859649122807017,1.2176504681535643,0
Frank Lampard,6.368421052631579,7.2105263157894735,9.263157894736842,2.046891950770067,0
Graham Potter,4.052631578947368,6.157894736842105,10.31578947368421,0.9936070121828635,1
José Mourinho,4.7894736842105265,5.157894736842105,11.789473684210526,0.8788651514464209,1
Jürgen Klopp,6.9035087719298245,7.56140350877193,9.74561403508772,1.5245334051234736,0
Manuel Pellegrini,4.631578947368421,5.684210526315789,8.68421052631579,1.1608284989863937,0
Mauricio Pochettino,6.026315789473684,5.7368421052631575,9.868421052631579,1.2277929286056222,0
Maurizio Sarri,6.2105263157894735,6.315789473684211,8.105263157894736,1.4179212600265232,0
Mikel Arteta,5.619469026548672,6.761061946902655,10.132743362831858,1.2180033348448922,0
Ole Gunnar Solskjaer,6.157894736842105,5.701754385964913,11.491228070175438,1.0309318926514341,2
Pep Guardiola,6.75,7.833333333333333,8.598484848484848,1.7908540428426791,0
Rafael Benítez,4.2105263157894735,5.894736842105263,10.68421052631579,0.8854767867151768,1
Ruben Amorim,4.411764705882353,5.529411764705882,11.529411764705882,0.8482216361109094,1
Steve Bruce,4.105263157894737,4.394736842105263,10.157894736842104,0.797929046787406,1
Steven Gerrard,4.526315789473684,4.7368421052631575,10.0,0.8650021289340174,1
Thomas Tuchel,5.973684210526316,6.684210526315789,11.421052631578947,1.1171793011769793,2
Unai Emery,5.173333333333333,6.213333333333333,10.813333333333333,1.0346356356062238,2
